&s | Method: 2025-01-08T16:49:42+05:00 | URL: GET | RemoteAddr: /home | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:49:43+05:00 | URL: GET | RemoteAddr: /menu1 | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:49:43+05:00 | URL: GET | RemoteAddr: /menu?page=1 | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:49:55+05:00 | URL: GET | RemoteAddr: /menu?page=1 | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:49:58+05:00 | URL: GET | RemoteAddr: /people | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:50:05+05:00 | URL: POST | RemoteAddr: /admin/send | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:50:25+05:00 | URL: POST | RemoteAddr: /admin/send | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:50:45+05:00 | URL: GET | RemoteAddr: /people | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:50:46+05:00 | URL: GET | RemoteAddr: /menu?page=1 | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:50:48+05:00 | URL: GET | RemoteAddr: /menu?page=2 | Status: &d
%!(EXTRA string=127.0.0.1:59970, int=200)&s | Method: 2025-01-08T16:51:17+05:00 | URL: GET | RemoteAddr: /menu1 | Status: &d
%!(EXTRA string=127.0.0.1:59976, int=200)&s | Method: 2025-01-08T16:51:17+05:00 | URL: GET | RemoteAddr: /menu?page=1 | Status: &d
%!(EXTRA string=127.0.0.1:59977, int=200)&s | Method: 2025-01-08T16:51:18+05:00 | URL: GET | RemoteAddr: /people | Status: &d
%!(EXTRA string=127.0.0.1:59976, int=200)&s | Method: 2025-01-08T16:51:28+05:00 | URL: POST | RemoteAddr: /admin/send | Status: &d
%!(EXTRA string=127.0.0.1:59977, int=200)&s | Method: 2025-01-20T21:21:14+05:00 | URL: GET | RemoteAddr: /home | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:21:14+05:00 | URL: GET | RemoteAddr: /static/homa.png | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:21:20+05:00 | URL: GET | RemoteAddr: / | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:21:25+05:00 | URL: GET | RemoteAddr: /menu1 | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:21:27+05:00 | URL: GET | RemoteAddr: /menu1 | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:21:50+05:00 | URL: GET | RemoteAddr: /menu | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:21:52+05:00 | URL: GET | RemoteAddr: /menu1 | Status: &d
%!(EXTRA string=127.0.0.1:62148, int=200)&s | Method: 2025-01-20T21:22:06+05:00 | URL: GET | RemoteAddr: /menu1 | Status: &d
